id,Espécie,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
249,Dalbergia cearensis,0,0,0,0,0,0,0,1,1,1,1,1
250,Dalbergia miscolobium,0,0,0,0,1,1,1,1,1,1,0,0
251,Dalbergia nigra,0,0,0,0,0,0,0,1,1,0,0,0
252,Dalbergia spruceana,0,0,0,0,0,0,0,1,1,0,0,0
255,Davilla elliptica,0,0,0,0,1,1,1,0,0,0,1,0
256,Desmodium adscendens,1,1,1,1,1,0,0,0,0,0,0,1
257,Desmodium barbatum,1,0,0,0,0,0,0,0,0,0,0,1
258,Desmodium incanum,0,0,1,0,0,0,0,0,0,0,0,0
259,Dialium guianense,0,0,0,0,0,0,1,1,0,0,0,0
260,Dichanthelium sabulorum,0,0,0,0,0,0,0,0,0,0,1,0
261,Dilodendron bipinnatum,0,0,0,0,0,0,0,0,1,1,1,1
262,Dimorphandra mollis,0,0,0,0,0,1,1,1,1,1,0,0
263,Dinizia excelsa,1,1,1,0,0,0,0,0,0,0,0,0
264,Diospyros hispida,1,1,1,1,1,0,0,0,0,0,0,1
266,Diospyros sericea,1,0,0,0,0,0,0,0,0,0,0,1
267,Diplokeleba floribunda,0,0,0,0,0,0,0,0,1,1,1,1
268,Diplotropis purpurea,0,0,1,1,1,0,0,0,0,0,0,0
269,Dipteryx alata,0,0,0,0,0,0,0,0,0,1,1,1
270,Dipteryx odorata,0,0,0,1,1,1,1,0,0,0,0,0
271,Diptychandra aurantiaca,0,0,0,0,0,0,0,0,1,1,1,1
273,Duguetia furfuracea,0,0,0,0,0,0,0,0,0,0,1,1
274,Duguetia lanceolata,0,0,1,1,1,0,0,0,0,0,0,0
275,Echinochloa polystachya,1,1,1,1,1,1,0,0,0,0,0,1
276,Echinolaena inflexa,1,1,1,1,1,1,1,1,1,1,1,0
277,Eleocharis bonariensis,0,0,1,0,0,0,0,0,0,0,0,0
278,Eleocharis viridans,0,0,1,0,0,0,0,0,0,0,0,0
279,Elionurus muticus,1,0,0,0,0,0,0,0,0,0,0,0
280,Emmotum nitens,1,0,0,0,0,0,0,0,0,0,1,1
281,Endopleura uchi,1,1,1,1,1,1,1,1,1,1,0,0
282,Enterolobium contortisiliquum,0,0,0,0,0,0,0,1,1,1,1,0
283,Enterolobium gummiferum,0,0,0,0,1,1,1,1,1,0,0,0
284,Enterolobium schomburgkii,0,0,0,0,0,0,1,1,0,0,0,0
285,Eperua oleifera,0,0,0,0,0,1,1,0,0,0,0,0
286,Eragrostis maypurensis,0,0,0,1,1,0,0,0,0,0,0,0
287,Eragrostis rufescens,1,1,1,1,1,0,0,1,1,1,1,1
288,Eremanthus erythropappus,0,0,0,0,0,0,1,1,1,1,1,0
289,Eriotheca globosa,0,0,0,0,0,0,0,0,0,0,1,1
290,Eriotheca gracilipes,1,1,0,0,0,0,0,0,1,1,0,1
291,Eriotheca pubescens,0,0,0,0,0,0,0,1,1,1,1,0
292,Erisma uncinatum,0,1,1,1,0,0,0,0,0,0,0,0
294,Erythrina cristagalli,0,0,0,0,0,0,0,0,1,1,0,0
295,Erythrina falcata,0,0,0,0,0,0,0,0,1,1,1,0
296,Erythrina fusca,0,0,0,0,0,0,0,0,1,1,1,0
297,Erythrina speciosa,0,0,0,0,0,0,0,0,0,1,1,0
298,Erythrina velutina,0,0,0,0,0,0,0,0,1,1,1,0
299,Erythrina verna,1,0,0,0,0,0,0,0,0,1,1,1
301,Erythroxylum daphnites,1,1,1,0,0,0,0,0,0,0,1,1
304,Eschweilera coriacea,0,0,0,1,1,1,1,0,0,0,0,0
306,Eugenia dysenterica,0,0,0,0,0,0,0,0,1,1,1,0
307,Eugenia florida,1,0,0,0,0,0,0,0,1,1,1,1
309,Eugenia klotzschiana,1,0,0,0,0,0,0,0,0,0,0,1
311,Eugenia patrisii,1,1,0,1,1,1,0,0,1,1,1,1
312,Eugenia pyriformis,1,0,0,0,0,0,0,0,0,0,1,1
313,Eugenia stipitata,1,1,0,0,0,0,1,0,1,1,1,1
314,Eugenia uniflora,1,0,0,0,0,0,0,0,0,1,1,1
316,Euterpe edulis,1,1,0,1,1,1,1,1,1,1,1,1
317,Euterpe oleracea,0,0,0,0,0,0,1,1,1,1,1,1
318,Euterpe precatoria,0,0,0,0,0,0,1,1,0,0,0,0
319,Euxylophora paraensis,1,1,0,0,0,0,0,0,0,0,0,0
322,Ficus trigona,0,0,0,0,1,1,1,1,1,1,1,1
323,Gallesia integrifolia,0,0,0,0,0,0,1,1,1,1,0,0
324,Garcinia brasiliensis,1,0,1,1,0,0,0,0,1,1,1,1
325,Garcinia gardneriana,1,1,0,0,0,0,0,0,0,0,1,1
326,Garcinia macrophylla,1,1,0,0,0,0,0,1,1,1,1,1
327,Geissospermum laeve,1,1,1,0,0,0,0,0,0,0,0,0
328,Genipa americana,1,1,1,0,0,0,0,0,0,1,1,1
329,Geoffroea spinosa,1,1,1,0,0,0,0,0,0,0,0,1
331,Gomphrena arborescens,0,1,1,1,1,0,0,0,0,0,0,0
332,Goupia glabra,0,0,0,0,1,1,1,1,1,1,1,1
333,Guapira noxia,0,0,0,0,0,0,0,0,0,1,1,0
334,Guarea guidonia,1,1,0,0,0,0,0,0,0,1,1,1
335,Guarea macrophylla,0,0,0,0,0,1,1,1,1,1,0,0
336,Guazuma ulmifolia,0,0,0,0,0,1,1,1,1,1,1,0
338,Guettarda viburnoides,1,1,1,1,1,0,0,0,0,0,0,0
339,Gymnanthes klotzschiana,1,1,1,1,0,0,0,0,0,0,0,0
342,Gymnopogon spicatus,0,0,1,1,1,0,0,0,0,0,0,0
343,Hancornia speciosa,1,0,0,0,0,0,0,0,1,1,1,1
344,Handroanthus barbatus,0,0,0,1,1,0,0,0,0,0,0,0
345,Handroanthus chrysotrichus,1,1,1,1,0,0,0,0,1,1,1,1
346,Handroanthus heptaphyllus,0,0,0,0,0,0,1,1,1,1,1,0
347,Handroanthus impetiginosus,0,0,0,0,0,0,1,1,1,1,1,0
348,Handroanthus ochraceus,0,0,0,0,0,0,0,0,1,1,1,0
349,Handroanthus serratifolius,0,0,0,0,0,0,0,0,1,1,1,1
350,Handroanthus spongiosus,1,0,0,0,0,0,0,0,0,0,1,1
351,Handroanthus umbellatus,0,0,0,0,0,0,0,0,0,1,1,0
352,Helicostylis tomentosa,1,1,1,0,0,0,0,0,0,0,0,0
353,Helicteres sacarolha,0,0,0,1,1,1,1,1,1,0,0,0
358,Heteropterys pteropetala,0,0,0,0,0,1,1,1,1,0,0,0
359,Hevea brasiliensis,1,1,1,0,0,0,0,0,0,0,0,0
360,Himatanthus articulatus,0,0,1,1,1,0,0,0,0,0,0,0
361,Himatanthus obovatus,0,0,0,0,0,1,1,0,0,0,0,0
362,Hirtella glandulosa,0,0,0,0,0,0,0,0,1,1,0,0
363,Hirtella gracilipes,0,0,0,0,0,0,0,0,1,1,0,0
364,Hordeum stenostachys,0,1,0,0,0,0,0,0,0,0,0,0
365,Huberodendron swietenioides,0,0,0,1,1,1,1,0,0,0,0,0
366,Humiria balsamifera,0,1,1,0,0,0,0,0,0,0,0,0
367,Hura crepitans,1,1,0,0,0,0,0,0,0,0,0,0
369,Hymenaea courbaril,1,1,0,0,0,0,1,1,1,1,1,1
370,Hymenaea martiana,0,0,0,0,0,0,1,1,1,1,0,0
371,Hymenaea parvifolia,0,0,0,0,0,0,1,1,1,1,0,0
372,Hymenaea stigonocarpa,0,0,0,0,0,0,1,1,1,1,1,0
373,Hymenolobium excelsum,0,0,0,1,1,0,0,0,0,0,0,0
374,Hymenolobium petraeum,0,0,0,0,1,1,0,0,0,0,0,0
378,Inga alba,1,1,0,0,0,0,0,0,0,1,1,1
379,Inga capitata,0,0,1,1,1,0,0,0,0,0,0,0
380,Inga cinnamomea,0,0,0,0,0,0,0,0,1,1,1,0
381,Inga cylindrica,0,0,0,0,0,0,0,0,1,1,1,0
382,Inga edulis,0,0,0,0,1,1,1,1,1,1,1,1
